trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",30,18,20.860665716262687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,16,6.7236895840475945,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,0,-64.3404138210424,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,15,20.123058031219006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,3,10.564918949211323,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,3,-24.33122171891703,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",30,3,-43.403745259480466,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,2,1.3405970728269074,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,13,23.86757024085174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",35,3,-46.30389201413506,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,0,9.523459314160524,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",30,23,0.007928337555804799,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,9,15.378299673974462,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
