trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.5, 'e': 0.7459999999999998}",35,0,-91.91480611279866,"{0: 27, 1: 4, 2: 2, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.7439999999999998}",25,0,-103.3924262272599,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.7419999999999998}",20,0,-41.58742871987634,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-67.73220987482097,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.7379999999999998}",25,0,-86.3684502698932,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.7359999999999998}",20,0,-121.99006595024989,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.7339999999999998}",30,0,-207.62019522324638,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
134,False,"{'a': 0.5, 'e': 0.7319999999999998}",30,0,-127.06873924971148,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-96.98145712872616,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.7279999999999998}",25,0,-218.7319058939827,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
137,False,"{'a': 0.5, 'e': 0.7259999999999998}",25,16,-0.20728506859333562,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.7239999999999998}",20,0,-63.69973264987497,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.7219999999999998}",20,0,2.7198282490672234,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-190.02823035099777,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
141,False,"{'a': 0.5, 'e': 0.7179999999999997}",25,0,-43.63301842744108,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.7159999999999997}",30,0,-144.81036864623255,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.7139999999999997}",20,0,-64.83118808494402,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.7119999999999997}",20,0,-16.185425784340783,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-25.611779193337572,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.7079999999999997}",20,0,-97.19999285144019,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.7059999999999997}",25,0,-67.20337528046284,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.7039999999999997}",25,0,-60.92067184956779,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.7019999999999997}",20,0,-54.549679439527964,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-71.42098703051894,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.6979999999999997}",20,0,-116.75559526040408,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.6959999999999997}",25,0,-148.01496037336227,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.6939999999999997}",25,0,-102.7380117236575,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.6919999999999997}",30,0,-95.656009302681,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.6899999999999997}",35,0,-95.3174426366765,"{0: 26, 1: 4, 2: 2, 3: 2, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.6879999999999997}",30,0,-170.68436764909353,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.6859999999999997}",20,0,-116.41760262365896,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.6839999999999997}",30,0,-110.83874862589028,"{0: 20, 1: 3, 2: 2, 3: 5, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.6819999999999997}",20,0,-69.3573706901393,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-153.23998121774804,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
161,False,"{'a': 0.5, 'e': 0.6779999999999997}",25,0,-249.25647873733269,"{0: 9, 1: 1, 2: 11, 3: 1, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.6759999999999997}",20,0,-79.25187417556047,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.6739999999999997}",30,0,-94.23416010719028,"{0: 23, 1: 1, 2: 2, 3: 3, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.6719999999999997}",25,0,-132.22447310790514,"{0: 14, 1: 1, 2: 6, 3: 4, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.6699999999999997}",35,0,-257.8599010634177,"{0: 20, 1: 5, 2: 3, 3: 3, 4: 4}",0
166,False,"{'a': 0.5, 'e': 0.6679999999999997}",20,0,-59.538155667938156,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.6659999999999997}",35,0,-190.1110191097591,"{0: 20, 1: 1, 2: 9, 3: 4, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.6639999999999997}",20,0,-126.73733844003605,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
